Distance_(pixels),Gray_Value,
0,4.558,0.022866603
1,5.415,0.027166006
2,4.009,0.020112376
3,4.138,0.020759544
4,3.902,0.019575578
5,4.656,0.02335825
6,4.112,0.020629108
7,4.027,0.020202679
8,4.156,0.020849847
9,4.719,0.023674309
10,3.938,0.019756183
11,3.96,0.019866553
12,3.964,0.01988662
13,4.496,0.022555561
14,3.795,0.01903878
15,3.987,0.020002007
16,4.152,0.02082978
17,3.973,0.019931771
18,4.531,0.022731149
19,4.379,0.021968595
20,4.312,0.021632469
21,4.268,0.021411729
22,4.214,0.021140822
23,3.536,0.017739427
24,4.205,0.02109567
25,3.875,0.019440124
26,4.321,0.02167762
27,3.746,0.018792956
28,4.237,0.021256208
29,3.888,0.019505343
30,4.129,0.020714393
31,3.888,0.019505343
32,4.509,0.02262078
33,3.781,0.018968545
34,3.821,0.019169217
35,3.549,0.017804646
36,3.643,0.018276225
37,4.268,0.021411729
38,4.304,0.021592334
39,4.004,0.020087292
40,3.701,0.0185672
41,3.469,0.017403301
42,3.938,0.019756183
43,4.134,0.020739477
44,3.786,0.018993629
45,3.737,0.018747805
46,3.554,0.01782973
47,4.022,0.020177595
48,3.643,0.018276225
49,3.924,0.019685948
50,3.228,0.016194251
51,3.603,0.018075553
52,3.737,0.018747805
53,3.826,0.019194301
54,3.772,0.018923393
55,3.951,0.019821402
56,4.487,0.02251041
57,3.92,0.019665881
58,4.259,0.021366578
59,3.179,0.015948427
60,4.174,0.02094015
61,3.696,0.018542116
62,3.929,0.019711032
63,3.268,0.016394923
64,3.603,0.018075553
65,3.237,0.016239402
66,3.719,0.018657503
67,3.705,0.018587267
68,3.612,0.018120704
69,3.911,0.019620729
70,3.576,0.017940099
71,3.603,0.018075553
72,3.496,0.017538755
73,3.214,0.016124015
74,3.589,0.018005318
75,4.161,0.020874931
76,3.929,0.019711032
77,3.446,0.017287915
78,3.46,0.01735815
79,3.763,0.018878242
80,3.281,0.016460141
81,3.759,0.018858175
82,3.777,0.018948477
83,3.424,0.017177545
84,3.424,0.017177545
85,3.737,0.018747805
86,3.429,0.017202629
87,4.04,0.020267897
88,3.473,0.017423368
89,3.482,0.01746852
90,3.674,0.018431746
91,3.951,0.019821402
92,3.429,0.017202629
93,3.487,0.017493604
94,3.272,0.01641499
95,3.768,0.018903326
96,3.795,0.01903878
97,3.281,0.016460141
98,3.781,0.018968545
99,3.804,0.019083931
100,3.402,0.017067175
101,3.433,0.017222696
102,4.277,0.021456881
103,3.357,0.016841419
104,3.46,0.01735815
105,3.487,0.017493604
106,3.634,0.018231074
107,3.549,0.017804646
108,3.638,0.018251141
109,3.616,0.018140772
110,3.219,0.016149099
111,3.504,0.017578889
112,3.871,0.019420057
113,3.705,0.018587267
114,3.232,0.016214318
115,3.438,0.01724778
116,3.795,0.01903878
117,3.286,0.016485226
118,3.29,0.016505293
119,3.129,0.015697587
120,3.768,0.018903326
121,3.545,0.017784578
122,3.509,0.017603973
123,3.536,0.017739427
124,3.33,0.016705965
125,2.96,0.014849747
126,3.237,0.016239402
127,3.357,0.016841419
128,3.263,0.016369839
129,3.661,0.018366528
130,3.371,0.016911654
131,3.42,0.017157478
132,3.451,0.017312999
133,3.487,0.017493604
